threadId=20000	segmentId=20000	!@#NEXLP_DOCVECTOR_SEPARATOR#@!séparateur d'orteils. N'ont pas résistés. Piètre qualité !#nexlpEOL#!
threadId=20001	segmentId=20001	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Attention à la connexion smartphone. Impossible de connecter le bracelet avec mon wiko rainbow. Application chargée bien entendu. !#nexlpEOL#!
threadId=20002	segmentId=20002	!@#NEXLP_DOCVECTOR_SEPARATOR#@!mauvaise qualité. produit de mauvaise qualité. le cuir s'écaille déjà alors que je ne l'ai porté que 4 jours. je ne le recommande pas. !#nexlpEOL#!
threadId=20003	segmentId=20003	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Trottinette vidaXL pas fiable. Pour mon fils de 13ans qui doit faire 4 kms par jour (trajet aller/retour). Au bout d’ Semaine courroie de traction cassée. Le service client fait semblant de ne pas comprendre mes mails de réclamation pour la prise en charge. !#nexlpEOL#!
threadId=20004	segmentId=20004	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Très déçu. Les supports et visserie de fixation manquent à l'appel alors qu'il est bien indiqué sur la notice qu'ils sont inclus... !#nexlpEOL#!
threadId=20005	segmentId=20005	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Fuite en 5 utilisations. Bonjour, J'ai utilisé 5 ou 6 fois ce matelas et voilà que celui ci fuit au niveau de la pompe (bouton d'alimentation). Merci au service SAV de me contacter pour voir ce qu'il est possible de faire. En attendant, je note 1 étoile globale. !#nexlpEOL#!
threadId=20006	segmentId=20006	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Déçu.... Le système d’attache s’est cassé en moins d’1 semaine d’utilisation... !#nexlpEOL#!
threadId=20007	segmentId=20007	!@#NEXLP_DOCVECTOR_SEPARATOR#@!JE N'AI PAS RECU CET ARTICLE DU TOUT. JE N'AI PAS RECU CET ARTICLE VEUILLEZ LE RENVOYER DANS LES PLUS BREFS DELAIS !#nexlpEOL#!
threadId=20008	segmentId=20008	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Assez decu. Le sac en lui même est très réussi et les couleurs sont assez sympas. En revanche, il manque de poche. En effet, il y a la grande poche et une toute petit poche extérieur. Ce qui oblige à tout mettre dans la grande poche. Et résultat des courses, après 2 mois d'utilisation (2 fois par semaine) la sangle pour le porter à l'épaule s'est décousu. Le sac ne peut plus que se porter à la main et plus à l'épaule. J'ai décidé de racheté un sac Eastpak à la place. Dommage !#nexlpEOL#!
threadId=20009	segmentId=20009	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Serrure barillet antivol pour remorque. Bonjour la serrure barillet antivol ne marche pas comment on peut faire et j ai qu une clé merci cdt !#nexlpEOL#!
threadId=20010	segmentId=20010	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Attention isotherme peu efficace sur ce modèle uniquement.. Je suis une grande fan des produits Contigo car leur qualité est inégalable, jai de nombreux mugs, des bouteilles et même le verre à smoothies de voyage. Le seul produit qui ne me semble pas a la hauteur est celui-ci bien qu'il soit beau et parfaitement étanche. Le problème c'est qu'il ne maintient au chaud pas plus de 2 heures ce qui est vraiment trop peu pour un mug de voyage. Au bout de 2 heures le liquide est complètement froid, a moins que le mien ait un défaut je ne recommande pas d'acheter celui-ci. !#nexlpEOL#!
threadId=20011	segmentId=20011	!@#NEXLP_DOCVECTOR_SEPARATOR#@!waders mitchell. waders ne me convienne pas du tout et trop les frais de port !#nexlpEOL#!
threadId=20012	segmentId=20012	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Produits defectueux. Produit défectueux après quelques mois d utilisation le guidon tourne dans tous les sens malgré que j ai tout essaye mais rien n y fait Qui contacter svp pour leur en faire part !#nexlpEOL#!
threadId=20013	segmentId=20013	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Conflit avec le câble de dérailleur arrière. La qualité du porte bagages est correcte. Par contre les barres de support sont encombrantes et leur fixation énorme. Du côté droit la fixation de la barre n'est pas possible en raison de la présence du câble de dérailleur. Il n'est pas possible de placer la pince sans bloquer le câble. Du moins sur mon vélo... J'ai dû refaire le système moi même. !#nexlpEOL#!
threadId=20014	segmentId=20014	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Se gonfle très mal. Tout est dans le titre. Le plastique est trop rigide pour permettre au jouet de se gonfler de façon optimale !#nexlpEOL#!
threadId=20015	segmentId=20015	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Donne l heure...... Petit prix...Petit résultat. .n espéré pas grand chose...la distance indiquée Est fausse. Le rytme cardiaque faux...Donne l heure....et est légère !#nexlpEOL#!
threadId=20016	segmentId=20016	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Un peu déçu... Trop petit compte tenu des attentes.. Je le voyais plus grand sur les photos... La résistance sera trop faible pour les vents bretons !#nexlpEOL#!
threadId=20017	segmentId=20017	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Beaucoup trop encombrant ... Le duvet plié prends toute la largeur de mon sac à dos. Si vous souhaitez faire un trek en Islande, je vous conseille un duvet plus adapté. !#nexlpEOL#!
threadId=20018	segmentId=20018	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Déçu. Servis deux jours courroie pété très déçu !#nexlpEOL#!
threadId=20019	segmentId=20019	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Qualité moyenne. Livraison impeccable mais le produit n'est pas neuf (les haltères sont sales et l'équipement usé). Pour le prix c'est limite. Pour ceux qui veulent jouer avec des maracas un peu sales de 20kg ce produit est fait pour vous :) !#nexlpEOL#!
threadId=20020	segmentId=20020	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Gourde alu thermos 80 cl. Capacité à peine plus grande qu'une bouteille de 75 cl, bonne tenue du contenu froid dans le temps: 2- 3 heures, bien étanche grâce au joint silicone ... !#nexlpEOL#!
threadId=20021	segmentId=20021	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Pratique mais attention aux manteaux epais. Très pratique mais il faut ne pas avoir un vêtement trop épais sinon on ne voit plus rien. Il faut essayer toutes les positions (vers le bas notamment) pour trouver celle qui vous conviendra le mieux. !#nexlpEOL#!
threadId=20022	segmentId=20022	!@#NEXLP_DOCVECTOR_SEPARATOR#@!720 degre. Super gourde très pratique d'ouverture je n'en sers pour le sport est le boulot !#nexlpEOL#!
threadId=20023	segmentId=20023	!@#NEXLP_DOCVECTOR_SEPARATOR#@!qualité du produit. maintien du poignet dans l'effort !#nexlpEOL#!
threadId=20024	segmentId=20024	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Bon produit. Bon produit avec un réglage facile. Le petit bémol est la marque de moulure de production, située sur le grip pour la main. Du coup, Ca a tendance à brûler l'intérieur de la main apres quelques répétitions. !#nexlpEOL#!
threadId=20025	segmentId=20025	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Barre de pole. Super barre de pole pour amateur. Par contre la notice n'est pas en français du coup un peu galère mais heureusement qu'il y'a des tuto sur internet. Je recommande !#nexlpEOL#!
threadId=20026	segmentId=20026	!@#NEXLP_DOCVECTOR_SEPARATOR#@!de bonnes cibles. bien livré bien emballé, l'aspect brillant de l'impression ? essayées à 25 m, pas de gêne particulière !#nexlpEOL#!
threadId=20027	segmentId=20027	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Qualité. Très bon rapport qualité prix !#nexlpEOL#!
threadId=20028	segmentId=20028	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Support téléphone. Bon produit. J’aime le support et la fixation. Propre et jolie ne fait pas tache sur ma moto !#nexlpEOL#!
threadId=20029	segmentId=20029	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Très bien. Très peu essayée pour le moment on verra da s le temps... Sinon elle elle est légère facile à manipuler discrète sous les vêtements et silencieuse.. !#nexlpEOL#!
threadId=20030	segmentId=20030	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Super produit. Produit bien adapté pour bébé si je peux juste trouver un petit défaut c'est l'élastique qui est un peu fin j'aurai préféré un peu plus large.mais sinon très bon produit !#nexlpEOL#!
threadId=20031	segmentId=20031	!@#NEXLP_DOCVECTOR_SEPARATOR#@!tres bon produit. mon compagnon s'en sert tous les jours !#nexlpEOL#!
threadId=20032	segmentId=20032	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Top. Produit conforme à la description. Livraison ultra rapide. Merci beaucoup !#nexlpEOL#!
threadId=20033	segmentId=20033	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Large gamme d'illumination, particulièrement brillante. La lumière est très vive et la plage d’éclairage est très large! Le sentiment général est également très bon, je l’aime beaucoup. !#nexlpEOL#!
threadId=20034	segmentId=20034	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Très bon sac. Très bon sac pour la maternelle , taille parfaite. Les enfants sont hyper content du style. Pas de soucis niveau solidité pour l’instant Petit plus il est isotherme !#nexlpEOL#!
threadId=20035	segmentId=20035	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Un sac de rangement et de sport. Diverses pochettes de rangement (eau, baskets..) ; sac de sport très pratique ; qualité correcte, livraison sans souci. !#nexlpEOL#!
threadId=20036	segmentId=20036	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Bon produit robuste. Très bon produit arrive un jours avant le delais de livraison !#nexlpEOL#!
threadId=20037	segmentId=20037	!@#NEXLP_DOCVECTOR_SEPARATOR#@!parfait !. rapport qualité prix impeccable. J'avais un doute entre le 5L et le 10L, j'ai contacté leur service clientèle, réponse quasi immédiate. J'ai choisie le 10L pour etre a l'aise (repas du midi au bureau). Le 5 Litre suffirait probablement, mais ca me permet de ne pas me poser de question si j'ai envie de le charger plus. Je recommande a 200% D'un point de vue aspect, quand il est a vide, il est tout plat. rempli il ressemble a une glaciere compacte qui tiens sur l'epaule. !#nexlpEOL#!
threadId=20038	segmentId=20038	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Prise en main idéale. Très bien, prise en main idéale. Se lave facilement. !#nexlpEOL#!
threadId=20039	segmentId=20039	!@#NEXLP_DOCVECTOR_SEPARATOR#@!au top. Produit comme indiqué, produit conforme, super livraison, pas de problèmes. Le prix au top vraiment rien à redire. super j'adore !#nexlpEOL#!
