ID	intent	text	domain	label
3232343533343830	IN:SET_RSVP_INTERESTED	rsvp interested for the third event	event	0
3232343532323436	IN:SET_RSVP_INTERESTED	rsvp interested for  Fast Company Innovation Festival	event	0
3232343532383336	IN:SET_RSVP_INTERESTED	mark me as maybe for the third event	event	0
3232323232313332	IN:SET_RSVP_INTERESTED	RSVP maybe to Primate Discovery Day	event	0
3232343533373234	IN:SET_RSVP_INTERESTED	respond interested to A Bewitching Fete	event	0
3232343532373136	IN:SET_RSVP_INTERESTED	interested in going to The Occupation of Alcatraz	event	0
3232343533343533	IN:SET_RSVP_INTERESTED	set my status as interested for that event	event	0
3232343533333836	IN:SET_RSVP_INTERESTED	rsvp maybe for the second event	event	0
3231323338333833	IN:GET_REMINDER_AMOUNT	How many reminders do I have?	reminder	2
3231323330363032	IN:GET_REMINDER_AMOUNT	How many reminders do I have for waxing appointments?	reminder	2
3232323230303538	IN:PLAY_MEDIA	find Snoop Dogg	music	3
3232323230333036	IN:PLAY_MEDIA	Find the Happiness Begins	music	3
3231323334373232	IN:GET_REMINDER_DATE_TIME	When is Phil's Birthday party reminder going to be sent ?	reminder	4
3231323334393434	IN:GET_REMINDER_DATE_TIME	What day is reminder for my grandparents dinner?	reminder	4
3231323236393031	IN:GET_REMINDER_DATE_TIME	What day do I have a reminder to go to yoga class?	reminder	4
3231323235343334	IN:GET_REMINDER_DATE_TIME	When is my reminder to meet with Sally in Topeka?	reminder	4
3231323334373735	IN:GET_REMINDER_DATE_TIME	When is the reminder for the charity event?	reminder	4
3231313436313030	IN:GET_REMINDER_DATE_TIME	Remind me when what time my hair appointment was made for	reminder	4
3231323332393835	IN:GET_REMINDER_DATE_TIME	what time is the reminder set for jim's retirement party	reminder	4
3231323330363337	IN:GET_REMINDER_DATE_TIME	What time is my next reminder?	reminder	4
3138393931343433	IN:GET_EMPLOYMENT_TIME	How long did Li work at Apple?	people	5
3138393933373036	IN:GET_EMPLOYMENT_TIME	When did Marc start working for American Express?	people	5
3138393933303434	IN:GET_EMPLOYMENT_TIME	How long has Jill worked for her current employer?	people	5
