ID	intent	text	domain	label
3232323232313838	IN:SET_RSVP_INTERESTED	Réponds peut-être à Tacocat	event	0
3232323232313332	IN:SET_RSVP_INTERESTED	Réponds peut-être la Journée de découverte des primates	event	0
3232343533363531	IN:SET_RSVP_INTERESTED	répond aux personnes intéressées par le cinquième événement	event	0
3232343533353330	IN:SET_RSVP_INTERESTED	réponds Peut-être au Eat Drink Play Los Gatos	event	0
3232343533343830	IN:SET_RSVP_INTERESTED	s'il te plaît, réponds intéressé pour le troisième événement	event	0
3232343533343035	IN:SET_RSVP_INTERESTED	indique sur mon statut que je suis intéressé par Awakening You	event	0
3232343532353931	IN:SET_RSVP_INTERESTED	mets mon statut sur peut-être pour la soirée Hillside Bar Trivia	event	0
3232343532323436	IN:SET_RSVP_INTERESTED	réponds que je suis intéressé par le festival Fast Company Innovation	event	0
3231323330363032	IN:GET_REMINDER_AMOUNT	Combien de rappels ai-je pour les rendez-vous d'épilation à la cire ?	reminder	2
3231323235313634	IN:GET_REMINDER_AMOUNT	Dis-moi combien j'ai de rappels la semaine prochaine.	reminder	2
3231323233353939	IN:GET_REMINDER_DATE_TIME	À quelle heure est prévu le rappel de notre réunion du club de couture ?	reminder	4
3231323334343630	IN:GET_REMINDER_DATE_TIME	Quelle est l'heure et le jour du rappel du rendez-vous chez le médecin de Tina ?	reminder	4
3231323333393539	IN:GET_REMINDER_DATE_TIME	quand est mon prochain rappel pour ma réunion Rottweiler ?	reminder	4
3231323332393835	IN:GET_REMINDER_DATE_TIME	quelle est l'heure du rappel fixé pour la fête de départ à la retraite de Jim	reminder	4
3231323237353738	IN:GET_REMINDER_DATE_TIME	Montre-moi pour quand est fixé le rappel pour la réunion de travail	reminder	4
3231323234393233	IN:GET_REMINDER_DATE_TIME	Quand est mon rappel pour la cueillette des pommes ?	reminder	4
3138393933303434	IN:GET_EMPLOYMENT_TIME	Depuis combien de temps Jill travaille pour son employeur actuel ?	people	5
3138393932373930	IN:GET_EMPLOYMENT_TIME	Depuis combien de temps est-ce que Cindy a son emploi actuel?	people	5
3138393932353236	IN:GET_EMPLOYMENT_TIME	Depuis combien de temps Jackie travaille chez Viaero ?	people	5
3138393932313837	IN:GET_EMPLOYMENT_TIME	quand bill a-t-il rejoint la police	people	5
3138393931343631	IN:GET_EMPLOYMENT_TIME	depuis combien de temps Sue travaille au WCTC ?	people	5
3138393931333731	IN:GET_EMPLOYMENT_TIME	Depuis combien de temps Tonya travaille-t-elle pour Google ?	people	5
3138393931323339	IN:GET_EMPLOYMENT_TIME	Quand Sam a-t-il arrêté de travailler chez Facebook ?	people	5
3138393931313337	IN:GET_EMPLOYMENT_TIME	est-ce que Jen a-t-elle travaillé à l'école Lincoln il y a 2 ans ?	people	5
39353134383530	IN:LOOP_MUSIC	Continue de répéter cette chanson jusqu'à ce que je te dise d'arrêter.	music	6
39343734383837	IN:LOOP_MUSIC	Joue en boucle la chanson en cours	music	6
3139383039323130	IN:GET_CONTACT_METHOD	J'ai besoin de connaître le nom d'utilisateur Twitch de Cory Brumfield	people	7
3139383039313931	IN:GET_CONTACT_METHOD	Envoie moi l'adresse mail de Ken s'il te plaît	people	7
39353639383438	IN:SKIP_TRACK_MUSIC	Passe toutes les chansons de country.	music	8
39353639353034	IN:SKIP_TRACK_MUSIC	Joue la chanson suivante	music	8
39353631343431	IN:SKIP_TRACK_MUSIC	Saute les cinq prochaines chansons	music	8
39353131353631	IN:SKIP_TRACK_MUSIC	S'il te plaît saute la chanson de Beyonce.	music	8
39343835343237	IN:SKIP_TRACK_MUSIC	transfère ce titre s'il te plaît	music	8
39343639303934	IN:SKIP_TRACK_MUSIC	Passe au titre suivant de l'album	music	8
39343734303838	IN:SKIP_TRACK_MUSIC	Arrête cette chanson et écouter la suivante	music	8
39343733393832	IN:SKIP_TRACK_MUSIC	Peux-tu sauter cette chanson ?	music	8
39353636373430	IN:LIKE_MUSIC	J'adore cette chanson !	music	9
39343934343232	IN:GET_TRACK_INFO_MUSIC	Quel chanteur chante cette chanson	music	10
39343835383834	IN:GET_TRACK_INFO_MUSIC	Qui joue cette chanson ?	music	10
39343830313932	IN:GET_TRACK_INFO_MUSIC	Quel artiste joue actuellement ?	music	10
39343736313435	IN:GET_TRACK_INFO_MUSIC	Sur quel album trouverai-je cette chanson	music	10
39343639363937	IN:GET_TRACK_INFO_MUSIC	comment s'appelle cette chanson	music	10
39343636303530	IN:GET_TRACK_INFO_MUSIC	Quelle est la durée de cette chanson ?	music	10
3132363138343330	IN:GET_TRACK_INFO_MUSIC	Quel est le titre de cet album	music	10
3132363133383634	IN:GET_TRACK_INFO_MUSIC	Qui a fait cela	music	10
39353738383934	IN:GET_TRACK_INFO_MUSIC	nom de l'album	music	10
