ID	intent	text	domain	label
3232343533313232	IN:SET_RSVP_INTERESTED	दूसरे इवेंट के जवाब में 'शायद' भेजें	event	0
3232343533303630	IN:SET_RSVP_INTERESTED	मैं दूसरी ईवेंट में जाना चाहता हूँ	event	0
3232343532363235	IN:SET_RSVP_INTERESTED	मेरे स्टेटस को बदलकर लोस एंजलेस इंटरैक्टिव कोन्फेरेंस 2019 में रुचि रखता हूँ कर दें	event	0
3232343532343837	IN:SET_RSVP_INTERESTED	हो सकता है कि मैं सोल समिट में जाना चाहूँ	event	0
3232323232313037	IN:SET_RSVP_INTERESTED	इनसर्जेंट एम्पायर बुक लॉन्च में जाने का जवाब शायद में दें	event	0
3231323331323434	IN:GET_REMINDER_AMOUNT	7 अक्टूबर के लिए कितने अनुस्मारक सेट हैं?	reminder	2
3232323230303939	IN:PLAY_MEDIA	टाइगर वुड्स कवर खोजें।	music	3
3231323238303239	IN:GET_REMINDER_DATE_TIME	मेरी अगली दवा की खुराक के लिए रिमाइंडर किस समय का है?	reminder	4
3231323235303837	IN:GET_REMINDER_DATE_TIME	मेरा पिछला एक्सटर्मिनेटर रिमाइंडर कब का था	reminder	4
3231323234343330	IN:GET_REMINDER_DATE_TIME	अगले सप्ताह फ्लाइट का रिमाइंडर कब है?	reminder	4
3231313436313030	IN:GET_REMINDER_DATE_TIME	मुझे मेरे बालों के अपॉइंटमेंट के बारे में याद दिलाएं	reminder	4
3138393932333739	IN:GET_EMPLOYMENT_TIME	एमिली ने सेंट ल्यूक के लिए कब काम करना शुरू किया?	people	5
3138393932333531	IN:GET_EMPLOYMENT_TIME	एंथनी ने एप्पल में कब तक काम किया	people	5
3138393932333437	IN:GET_EMPLOYMENT_TIME	स्टीव ने स्कूल में कब काम करना शुरू किया	people	5
3138393932303433	IN:GET_EMPLOYMENT_TIME	फाये ने कोहल्स के लिए कब तक काम किया	people	5
3138393931373830	IN:GET_EMPLOYMENT_TIME	क्या सारा पूरा पिछला साल मैकडॉनल्ड्स में काम कर रही थी?	people	5
3138393931373636	IN:GET_EMPLOYMENT_TIME	अपने मौजूदा काम को शेनन कितने समय से कर रही है?	people	5
3138393931373435	IN:GET_EMPLOYMENT_TIME	फिल ने McDonalds में काम करना कब शुरू किया था	people	5
3138393931333535	IN:GET_EMPLOYMENT_TIME	हाइडी ने टारगेट पर काम करना कब शुरू किया था?	people	5
3138393931333032	IN:GET_EMPLOYMENT_TIME	काइल को काम पर कब रखा गया?	people	5
3132353935393032	IN:LOOP_MUSIC	इस गाने को एक घंटे तक चलाएं	music	6
39353232323831	IN:LOOP_MUSIC	जेन्सेन एक्ल्स के गाने सिंपल मैन को ढूँढ़ें और बार-बार चलाएं	music	6
3139383539333236	IN:GET_CONTACT_METHOD	मुझे लिसा का ईमेल चाहिए	people	7
3139383035363132	IN:GET_CONTACT_METHOD	कृपया मुझे फ्रेडी का नंबर बताएं!	people	7
39353732303639	IN:SKIP_TRACK_MUSIC	कृपया दो ट्रैक छोड़ें।	music	8
39353633343939	IN:SKIP_TRACK_MUSIC	उस गाने को छोड़ो, मुझे यह पसंद नहीं है	music	8
39353436383632	IN:SKIP_TRACK_MUSIC	इस ट्रैक को छोड़कर अगले गाने पर जाएं।	music	8
39353039323934	IN:SKIP_TRACK_MUSIC	क्या आप वर्तमान ट्रैक को छोड़ सकते हैं?	music	8
39343935363533	IN:SKIP_TRACK_MUSIC	इस समय चल रहे गाने को हटाकर कोई और गाना चलाएं	music	8
39343733303039	IN:SKIP_TRACK_MUSIC	कृपया अगले ट्रैक पर जाएं।	music	8
39353736353233	IN:LIKE_MUSIC	मुझे यह गाना पसंद है।	music	9
3132353836383332	IN:GET_TRACK_INFO_MUSIC	इस एल्बम का नाम क्या है	music	10
