ID	intent	text	domain	label
3232343533373236	IN:SET_RSVP_INTERESTED	ตอบว่ามีความสนใจที่จะเข้าร่วมงานที่สาม	event	0
3232343533373139	IN:SET_RSVP_INTERESTED	ตอบไปว่าอาจเข้าร่วมงานที่ห้า	event	0
3232343533363937	IN:SET_RSVP_INTERESTED	ตอบว่าสนใจการชมพระจันทร์	event	0
3232343533363531	IN:SET_RSVP_INTERESTED	ตอบสนองว่าสนใจในกิจกรรมที่ห้า	event	0
3232343533343533	IN:SET_RSVP_INTERESTED	ตั้งสถานะของฉันเป็นสนใจที่จะเข้าร่วมงานนั้น	event	0
3232343533323330	IN:SET_RSVP_INTERESTED	กำหนดสถานะของฉันว่าสนใจ Brickpalooza	event	0
3232343533323137	IN:SET_RSVP_INTERESTED	กำหนดสถานะของฉันเป็นอาจเข้าร่วมกิจกรรมนี้	event	0
3231323239393833	IN:GET_REMINDER_AMOUNT	จะมีการแจ้งเตือนกี่ครั้งสำหรับพรุ่งนี้?	reminder	2
3232323230333436	IN:PLAY_MEDIA	ค้นหาเพลงคัฟเวอร์ของกุชชี่ เมน	music	3
3231323235363132	IN:GET_REMINDER_DATE_TIME	ตัวแจ้งเตือนการทำความสะอาดพรมคือเมื่อไร	reminder	4
3231323337373035	IN:GET_REMINDER_DATE_TIME	เตือนฉันเมื่อเลขห้าปรากฏขึ้น	reminder	4
3231323333373832	IN:GET_REMINDER_DATE_TIME	มีการเตือนความจำของฉันสำหรับวันพรุ่งนี้ตอนเช้าใช่หรือไม่?	reminder	4
3138393932383138	IN:GET_EMPLOYMENT_TIME	เบนเริ่มทำงานกับซับเวย์เมื่อใด?	people	5
3138393932343035	IN:GET_EMPLOYMENT_TIME	มาร์ธาเลิกทำงานให้กับวอลกรีนส์เมื่อไร	people	5
3138393932333739	IN:GET_EMPLOYMENT_TIME	เอมิลี่เริ่มทำงานให้ St. Luke's เมื่อใด?	people	5
3138393932333531	IN:GET_EMPLOYMENT_TIME	แอนโทนีทำงานที่แอปเปิลมานานเท่าไรแล้ว	people	5
3138393931373636	IN:GET_EMPLOYMENT_TIME	แชนนอนทำงานปัจจุบันมานานแค่ไหนแล้ว?	people	5
3138393931373435	IN:GET_EMPLOYMENT_TIME	ฟิลเริ่มทำงานที่แมคโดนัลด์เมื่อไร	people	5
3132353935303436	IN:LOOP_MUSIC	เล่นเพลงนี้ 3 ครั้งติด	music	6
39353534353434	IN:LOOP_MUSIC	ใส่เพลงนี้ไปยังรายการเล่นซ้ำ	music	6
3132353833323831	IN:SKIP_TRACK_MUSIC	เริ่มเพลงถัดไป	music	8
3132363231333730	IN:SKIP_TRACK_MUSIC	โปรดข้าม	music	8
3132353835323430	IN:SKIP_TRACK_MUSIC	เล่นเพลงถัดไป	music	8
3132353834323132	IN:SKIP_TRACK_MUSIC	ช่วยไปที่เพลงที่ 3	music	8
3132353732383038	IN:SKIP_TRACK_MUSIC	กรุณาข้าม	music	8
3132353635323538	IN:SKIP_TRACK_MUSIC	ข้ามไปข้างหน้า 5 เพลง	music	8
39353736323834	IN:SKIP_TRACK_MUSIC	ข้ามเพลงตอนนี้	music	8
39353732343334	IN:SKIP_TRACK_MUSIC	ไปยังอีกเพลง	music	8
39353439323739	IN:LIKE_MUSIC	ทำเพลงนี้เป็นรายการโปรด	music	9
3139393237353130	IN:GET_TRACK_INFO_MUSIC	เพลงนี้ที่สปอทิฟายเล่นอยู่คือเพลงอะไร?	music	10
3132363135303732	IN:GET_TRACK_INFO_MUSIC	เพลงสุดท้ายชื่อว่าอะไร	music	10
39353630383939	IN:GET_TRACK_INFO_MUSIC	บียอนเซ่กำลังร้องเพลงอยู่ใช่ไหม?	music	10
39353538343639	IN:GET_TRACK_INFO_MUSIC	เพลงนี้คือเพลงอะไร?	music	10
39353531363734	IN:GET_TRACK_INFO_MUSIC	ใครร้องเพลง Hey Pretty	music	10
39353136383634	IN:GET_TRACK_INFO_MUSIC	ใครเป็นจุดเด่นในเพลงนี้	music	10
39353031393337	IN:GET_TRACK_INFO_MUSIC	เพลงออกมาเมื่อไร	music	10
39343832353838	IN:GET_TRACK_INFO_MUSIC	นี่เป็นปกเหรอ?	music	10
39353536323235	IN:GET_TRACK_INFO_MUSIC	เพลงนี้ของศิลปินคนไหน?	music	10
39343738323636	IN:GET_TRACK_INFO_MUSIC	ใครคือนักร้องนำของวงนี้	music	10
3230303431383436	IN:GET_TRACK_INFO_MUSIC	ตอนนี้กำลังเล่นเพลงอะไร	music	10
3132363133393932	IN:GET_TRACK_INFO_MUSIC	ใครกำลังร้องเพลงนี้	music	10
3132353938383330	IN:GET_TRACK_INFO_MUSIC	ใครกำลังร้องเพลง	music	10
3231313435313730	IN:CREATE_REMINDER	ฉันมีการสัมมนาผ่านเว็บตอน 6 โมงวันนี้ คุณช่วยตั้งค่าการแจ้งเตือนล่วงหน้าเป็นเวลา 15 นาทีได้หรือไม่	reminder	11
3231313435303535	IN:CREATE_REMINDER	เตือนให้ฉันโทรหาบริตคืนนี้เวลา 19:00 น.	reminder	11
3231313434393239	IN:CREATE_REMINDER	ช่วยตั้งค่าการแจ้งเตือนสำหรับวันเสาร์เวลา 15:00 น. เพื่อรับจอช	reminder	11
3231313434333735	IN:CREATE_REMINDER	เตือนให้ฉันอบเค้ก	reminder	11
3231313434323033	IN:CREATE_REMINDER	ฉันต้องโทรหาหมอฟันอีกครั้งเพื่อทำการนัดหมายการทดสอบใหม่ของซินดี้ คุณสามารถเตือนฉันตอนเที่ยงพรุ่งนี้ได้ไหม?	reminder	11
3231313433383335	IN:CREATE_REMINDER	แจ้งเตือนให้ฉันโทรหาครูของลูกชายของฉันให้กำหนดการประชุมในสัปดาห์ถัดไป	reminder	11
3231313433383231	IN:CREATE_REMINDER	เตือนให้ฉันโทรหาพี่สาวของฉันพรุ่งนี้เวลา 5:00 น.	reminder	11
3231313433343039	IN:CREATE_REMINDER	สร้างกิจกรรมบนเฟซบุ๊กสำหรับการจัดปาร์ตี้ที่บ้านในวันอาทิตย์ เพิ่มสมาชิกในครอบครัวด้วย	reminder	11
3231313433303336	IN:CREATE_REMINDER	เตือนฉันให้ถามพี่สาวว่าวันเกิดของดอมคือเมื่อไรในคืนนี้	reminder	11
3231313432353635	IN:CREATE_REMINDER	เตือนฉันเวลา 15:00 น. เพื่อส่งอีเมลถึงทอมเกี่ยวกับรายละเอียดของการประชุมในวันอังคารหน้า	reminder	11
3231323431333435	IN:CREATE_REMINDER	เตือนฉันให้เอาน้ำมันใส่รถ 8:00 น. พรุ่งนี้	reminder	11
3231323430343534	IN:CREATE_REMINDER	เตือนฉันถึงการสัมภาษณ์ของฉันในเช้าวันจันทร์	reminder	11
3231323430343434	IN:CREATE_REMINDER	ตั้งการแจ้งเตือนเพื่อชมสเกนเดลคืนนี้	reminder	11
3231323339343738	IN:CREATE_REMINDER	เตือนฉันให้จ่ายค่าโทรศัพท์ก่อนสัปดาห์หน้า	reminder	11
3231323338323532	IN:CREATE_REMINDER	เตือนฉันว่ามีการนัดหมายกับแพทย์ในวันพุธหน้า	reminder	11
3231323337313639	IN:CREATE_REMINDER	คุณช่วยเตือนฉันให้ทำความสะอาดรถได้ไหม?	reminder	11
3231323337313036	IN:CREATE_REMINDER	เพิ่มการแจ้งเตือนสำหรับงานหนักตั้งแต่วันพุธเวลา 9:00 น.	reminder	11
3231323336383031	IN:CREATE_REMINDER	เตือนฉันว่าฉันมีการประชุมในตอนเช้า	reminder	11
3231323336333535	IN:CREATE_REMINDER	เตือนให้ฉันทำการนัดหมาย	reminder	11
3231323336323837	IN:CREATE_REMINDER	คำเตือน: ภาพยนตร์เริ่มเวลา 16:30 น.	reminder	11
